"252 кабінет. Первинна черга на завтра. 
Список тих хто був записаний через Telegram Bot на вказану дату. Всі записи на наступні дні - на наступному аркуші (TODO)"
Попередній прийом:,,27.11.2025 (9:00 - 14:00),,,Поточний прийом:,,28.11.2025 (9:00 - 14:00)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?",Розрахункова дата візиту
79,4484,Не зайшов,,,79,,4485,Обіцяв бути,---,25.12.2025
80,4485,Не зайшов,,,80,,4486,Обіцяв бути,---,25.12.2025
81,4486,Не зайшов,,,81,,4491,Відклав візит,31.12.2025,25.12.2025
82,4491,Не зайшов,,,82,,4492,Обіцяв бути,---,25.12.2025
83,4492,Не зайшов,,,83,,4496,Обіцяв бути,---,26.12.2025
84,4496,Не зайшов,,,84,,4499,Обіцяв бути,---,26.12.2025
85,4499,Не зайшов,,,85,,4501,Обіцяв бути,---,26.12.2025
86,4501,Не зайшов,,,86,,4502,Обіцяв бути,---,26.12.2025
87,4504,Не зайшов,,,87,,4504,Обіцяв бути,---,26.12.2025
88,4514,Не зайшов,,,88,,4514,Обіцяв бути,---,29.12.2025
89,4517,Не зайшов,,,89,,4517,Обіцяв бути,---,29.12.2025
90,4521,Не зайшов,,,90,,4521,Обіцяв бути,---,29.12.2025
91,4535,Не зайшов,,,91,,4535,Обіцяв бути,---,30.12.2025
92,4541,Не зайшов,,,92,,4538,Обіцяв бути,---,30.12.2025
93,4550,Не зайшов,,,93,,4541,Обіцяв бути,---,30.12.2025
94,4554,Не зайшов,,,94,,4550,Обіцяв бути,---,31.12.2025
95,4560,Не зайшов,,,95,,4554,Обіцяв бути,---,31.12.2025
96,4566,Не зайшов,,,96,,4560,Обіцяв бути,---,31.12.2025
97,4567,Не зайшов,,,97,,4566,Обіцяв бути,---,31.12.2025
98,4571,Не зайшов,,,98,,4567,Обіцяв бути,---,01.01.2026
99,4572,Не зайшов,,,99,,4571,Обіцяв бути,---,01.01.2026
100,4573,Не зайшов,,,100,,4572,Обіцяв бути,---,01.01.2026
101,4575,Не зайшов,,,101,,4573,Обіцяв бути,---,01.01.2026
102,4577,Не зайшов,,,102,,4575,Обіцяв бути,---,01.01.2026
103,4580,Не зайшов,,,103,,4577,Обіцяв бути,---,01.01.2026
104,4584,Не зайшов,,,104,,4580,Обіцяв бути,---,01.01.2026
105,4586,Не зайшов,,,105,,4584,Обіцяв бути,---,01.01.2026
106,4588,Не зайшов,,,106,,4585,Відклав візит,05.12.2025,02.01.2026
107,4598,Не зайшов,,,107,,4586,Обіцяв бути,---,02.01.2026
108,4600,Не зайшов,,,108,,4588,Обіцяв бути,---,02.01.2026
109,4605,Не зайшов,,,109,,4596,Відклав візит,19.01.2026,02.01.2026
110,4606,Не зайшов,,,110,,4598,Обіцяв бути,---,02.01.2026
111,4607,Не зайшов,,,111,,4600,Обіцяв бути,---,02.01.2026
112,4613,Не зайшов,,,112,,4605,Обіцяв бути,---,05.01.2026
113,4623,Не зайшов,,,113,,4606,Обіцяв бути,---,05.01.2026
114,4625,Не зайшов,,,114,,4607,Обіцяв бути,---,05.01.2026
115,4629,Не зайшов,,,115,,4613,Обіцяв бути,---,05.01.2026
116,4632,Не зайшов,,,116,,4623,Обіцяв бути,---,06.01.2026
117,4637,Не зайшов,,,117,,4625,Обіцяв бути,---,06.01.2026
118,4656,Не зайшов,,,118,,4629,Обіцяв бути,---,06.01.2026
119,4674,Не зайшов,,,119,,4632,Обіцяв бути,---,06.01.2026
120,4675,Не зайшов,,,120,,4637,Обіцяв бути,---,06.01.2026
121,4680,Відклав візит,,,121,,4656,Обіцяв бути,---,07.01.2026
122,4704,Не зайшов,,,122,,4658,Відклав візит,19.12.2025,08.01.2026
123,4706,Не зайшов,,,123,,4674,Обіцяв бути,---,08.01.2026
124,4723,Не зайшов,,,124,,4675,Обіцяв бути,---,09.01.2026
125,4724,Не зайшов,,,125,,4704,Обіцяв бути,---,12.01.2026
126,4731,Не зайшов,,,126,,4706,Обіцяв бути,---,12.01.2026
127,4755,Не зайшов,,,127,,4723,Обіцяв бути,---,13.01.2026
128,4775,Відклав візит,,,128,,4724,Обіцяв бути,---,13.01.2026
129,4780,Не зайшов,,,129,,4731,Обіцяв бути,---,14.01.2026
130,4786,Не зайшов,,,130,,4755,Обіцяв бути,---,15.01.2026
131,4788,Не зайшов,,,131,,4762,Обіцяв бути,---,15.01.2026
132,4789,Не зайшов,,,132,,4780,Обіцяв бути,---,16.01.2026
133,4791,Не зайшов,,,133,,4786,Обіцяв бути,---,19.01.2026
134,4795,Не зайшов,,,134,,4788,Обіцяв бути,---,19.01.2026
135,4798,Не зайшов,,,135,,4789,Обіцяв бути,---,19.01.2026
136,4807,Не зайшов,,,136,,4791,Обіцяв бути,---,19.01.2026
137,4815,Не зайшов,,,137,,4795,Обіцяв бути,---,19.01.2026
138,4820,Не зайшов,,,138,,4798,Обіцяв бути,---,19.01.2026
139,4825,Не зайшов,,,139,,4807,Обіцяв бути,---,20.01.2026
140,4833,Не зайшов,,,140,,4815,Відклав візит,05.12.2025,20.01.2026
141,4858,Не зайшов,,,141,,4820,Обіцяв бути,---,21.01.2026
142,4869,Не зайшов,,,142,,4825,Обіцяв бути,---,21.01.2026
143,4902,Не зайшов,,,143,,4833,Обіцяв бути,---,21.01.2026
144,4908,Не зайшов,,,144,,4854,Обіцяв бути,---,22.01.2026
145,4947,Не зайшов,,,145,,4858,Обіцяв бути,---,23.01.2026
146,4960,Не зайшов,,,146,,4869,Обіцяв бути,---,23.01.2026
147,4963,Відклав візит,,,147,,4883,Відклав візит,05.12.2025,26.01.2026
148,4965,Не зайшов,,,148,,4902,Обіцяв бути,---,27.01.2026
149,4966,Не зайшов,,,149,,4908,Обіцяв бути,---,27.01.2026
150,4968,Не зайшов,,,150,,4935,Обіцяв бути,---,29.01.2026
151,4978,Не зайшов,,,151,,4947,Обіцяв бути,---,30.01.2026
152,4997,Не зайшов,,,152,,4960,Обіцяв бути,---,30.01.2026
153,4999,Не зайшов,,,153,,4965,Обіцяв бути,---,02.02.2026
154,5009,Не зайшов,,,154,,4966,Обіцяв бути,---,02.02.2026
155,5020,Не зайшов,,,155,,4968,Обіцяв бути,---,02.02.2026
156,5021,Відклав візит,,,156,,4978,Обіцяв бути,---,02.02.2026
157,5022,Не зайшов,,,157,,4997,Обіцяв бути,---,03.02.2026
158,5025,Відклав візит,,,158,,4999,Обіцяв бути,---,04.02.2026
159,5029,Не зайшов,,,159,,5009,Обіцяв бути,---,04.02.2026
160,,,,,160,,5010,Обіцяв бути,---,04.02.2026
161,,,,,161,,5020,Обіцяв бути,---,05.02.2026
162,,,,,162,,5022,Відклав візит,12.01.2026,05.02.2026
163,,,,,163,,5029,Обіцяв бути,---,05.02.2026
164,,,,,164,,5038,Обіцяв бути,---,06.02.2026
165,,,,,165,,5041,Обіцяв бути,---,06.02.2026
166,,,,,166,,5046,Відклав візит,08.12.2025,06.02.2026
167,,,,,167,,5053,Обіцяв бути,---,09.02.2026
168,,,,,168
169,,,,,169
170,,,,,170
171,,,,,171
172,,,,,172
173,,,,,173
174,,,,,174
175,,,,,175
176,,,,,176
177,,,,,177
178,,,,,178
179,,,,,179
180,,,,,180
181,,,,,181
182,,,,,182
183,,,,,183
184,,,,,184
185,,,,,185
186,,,,,186
187,,,,,187
188,,,,,188
189,,,,,189
190,,,,,190
191,,,,,191
192,,,,,192
193,,,,,193
194,,,,,194
195,,,,,195
196,,,,,196
197,,,,,197
